2月11日 11:58,去看原文翻译,1
2月11日 09:53,2020怎么了，多灾多难的，加油呀！！相信风雨之后便见彩虹        ,1
2月11日 09:54,看到这种新闻就好怕怕        ,1
2月11日 09:53,大自然的惩罚        ,1
2月11日 12:09,人家尼日利亚的原文是疑似捕鱼化学物质中毒  到了这边截取最恐怖的一段并不是全文 欺负国内的人不看外网新闻吗 yxh要不要脸        ,1
2月11日 10:28,这种死亡迅速的病传染性不会很强        ,1
2月11日 10:47,今年中国也帮不了你们了        ,1
2月11日 10:34,没事，可防可控        ,1
2月11日 12:21,我妈就在尼日利亚，本来是要回国的，但是国内疫情严重，怕在机场感染就没回来，商量等着疫情稳定了再回来，希望妈妈在外面平平安安的 ,1
2月11日 12:24,先抓8名传谣者，不必恐慌、有限人传人。万家宴摆起来，团拜会嗨起来！物资充足，有108亿口罩，红十会反应迅速！建议尼日利亚开两会，保证病例无增长        ,1
2月11日 11:51,大自然这是要全面反攻了吗？？？        ,1
2月11日 11:52,我就想到那个流感的电影…        ,1
2月11日 11:59,海关外籍人员过境要做好工作啊，中国经不起第二次折腾了！        ,1
2月11日 11:51,人类呀，该反省一下自己        ,1
2月11日 11:51,其他国家的不明疾病倒是报道挺快....        ,2
2月11日 11:54,死亡率高的话 传播率会低点吧.....        ,2
2月11日 12:37,尼日利亚政府,2
2月11日 11:51,我真的好想哭，2020究竟怎么了为什么这么可怕        ,2
2月11日 09:55,生态环境的恶化？        ,2
2月11日 11:58,希望这次疫情过去，大家都能重视起来保护自然，保护野生动物！！什么“毁灭”“报应”，现在不是讲这些的时候，我们最重要是万众一心抗击疫情，等到结束，加奖与惩罚一个都不会落。        ,2
2月11日 11:56,病毒是约好了一起向人类发起攻击吗？ ,2
2月11日 11:58,化学中毒！！！        ,2
2月11日 12:15,不是2020年不好，是人类在之前的几十年，几百年，甚至几千年中的自作自受！引用一句话“没什么比人的大脑更神奇了，还不是那句话，自然的力量面前，人类的力量是蝼蚁，人类的智慧不值一提，都说人是自然界的宠儿，果然是慈母多败儿，这么多生物里，唯独人类不懂得敬畏自然。”——耳雅《SCI谜案集》        ,2
2月11日 12:04,我记得不是说了因为化学药品污染导致的?怎么到这儿少了这段话啊? ,2
2月11日 11:58,有没有点阳间的人看的新闻啊        ,2
2月11日 12:02,食物中毒。 鉴定完毕        ,2
2月11日 11:52,中毒了吧！ ¡评论配图 ,2
2月11日 12:12,你们说其实预言的2012会不会是翻译错误  其实是2020？        ,2
2月11日 13:48,庚子年，易起疫，入夏渐消。——《地母经》        ,3
2月11日 12:02,感觉有点吓人。中国可能没有精力照顾你们了，你们要加油加油        ,3
2月11日 11:59,玄学和封建迷信是两回事，瘟疫肺炎肯定是有一个源头，就是肺，庚子正月流月的疾厄星象属金，顾名思义肯定源于金，对应人体就是肺，在正月很难消退，大家加油！。        ,3
2月11日 12:03,我发现我不能天天看微博 再看我要被吓死了        ,3
2月11日 12:06,48小时内不治身亡 ,3
2月11日 12:11,总觉得是美g 搞得病毒        ,3
2月11日 11:56,最后那个宝宝 ,3
2月11日 12:00,是不是2020年才是世界末日啊        ,3
2月11日 12:09,耶稣要来了        ,3
2月11日 11:56,会不会和全球变暖有关        ,3
2月11日 13:16,这病毒致死率很高，说明传播的应该不远        ,3
2月11日 10:04,???        ,3
2月11日 15:55,2020莫非是病毒狂欢年？ ,3
2月11日 11:59,病毒前两年的KPI没有完成，被领导问责了        ,4
2月11日 17:33,2020要搞死我们        ,4
2月11日 17:27,大自然这是要全面反攻了吗？？人类呀，该反省一下自己        ,4
2月11日 10:16,？        ,4
2月11日 09:55, ,4
2月11日 12:54,唉，可以重启2020年吗？        ,4
2月11日 11:51,哎        ,4
2月11日 12:33,人类怎么了        ,4
2月11日 12:09,怎么回事，全世界到处都有各种流行病爆发        ,4
2月11日 11:55,在想韩美娟的记得烧鸡么么哒真是有毒，现在中国已经被烧熟了 ,4
2月11日 12:22,人类清除计划已启动        ,4
2月11日 11:59,怎么回事心里没逼数吗？看看人类对大自然都做了些什么，你们就知道了！        ,4
2月11日 14:00,爱自然，自然被爱。反之，亦然！！ 好好爱地球吧！地球生病了，我们也逃不掉！        ,4
2月11日 13:06,回复“T” 退订2020        ,4
